AdminPermissions,AllocatorPermissions,AllowedPathPrefix,AllowedProperties,ApproversOnCreate,ApproversOnDataDelete,ApproversOnDelete,ApproversOnExtend,ApproversOnResize,AreasNum,AreasPrivateSize,AreasSharedSize,AreasSize,AreasSizeGB,AreasSizeTB,AreasUsage,AreasUsageGB,AreasUsageTB,AvailableSize,AvailableSizeGB,AvailableSizePerSharedPool,AvailableSizePerSharedPoolGB,AvailableSizePerSharedPoolTB,AvailableSizeTB,BusinessGroup,CachePermissions,Cell,DefaultGrace,DefaultPathPrefix,DefaultProperties,DiskSelectionStrategy,FSGroup,FSPermissions,FileSystemGroup,FileSystemPermissions,GlobalPathPrefix,LocalPathPrefix,MaxActiveAreas,MaxActiveSize,MaxDisabledPeriod,MaxDuration,MaxGrace,MaxSize,MemberResources,Permissions,Policies,Project,QSlot,ReplicatorPermissions,RequiredProperties,SharedPools,StodFSPermissions,TotalPrivateSize,TotalSharedSize,TotalSize,TotalSizeGB,TotalSizeTB,Type,User,ViewPermissions
,,,,,,,,,1,30720,0,30720,30.0,0.029,0,0.0,0.0,4413916,4310.465,0,0.0,0.0,4.209,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gknap01a:* ,,,cougarpoint,,,,,,17090305,0,17090305,16689.751,16.299,User,others,
amaczuga jdkarpin,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,1,30720,0,30720,30.0,0.029,26789,26.161,0.026,4413916,4310.465,0,0.0,0.0,4.209,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gknap01a:* ,bmatwiej,,cougarpoint,,,,,,17090305,0,17090305,16689.751,16.299,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,dmraid,,,,,,0,0,0,0.0,0.0,User,others,
amaczuga jdkarpin,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,kkucmier,,dmraid,,,,,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,1,87040,0,87040,85.0,0.083,0,0.0,0.0,871874,851.439,0,0.0,0.0,0.831,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 ,,,eps,,,,,,3247554,0,3247554,3171.439,3.097,User,others,
amaczuga jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,1,87040,0,87040,85.0,0.083,51793,50.579,0.049,871874,851.439,0,0.0,0.0,0.831,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 ,mneufeld mjemiol tszmelcz,,eps,,,,,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,1,102400,0,102400,100.0,0.098,0,0.0,0.0,342466,334.439,0,0.0,0.0,0.327,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol4 ,,,ftf,,,,,,3247554,0,3247554,3171.439,3.097,User,others,
amaczuga jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,1,102400,0,102400,100.0,0.098,66970,65.4,0.064,342466,334.439,0,0.0,0.0,0.327,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol4 ,rkrzyszt,,ftf,,,,,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,fw_kits,,,,,,0,0,0,0.0,0.0,User,others,
,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,fw_kits,,,,,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,1,204800,0,204800,200.0,0.195,0,0.0,0.0,342466,334.439,0,0.0,0.0,0.327,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol4 ,,,hdaudio,,,,,,3247554,0,3247554,3171.439,3.097,User,others,
amaczuga jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,1,204800,0,204800,200.0,0.195,9782,9.553,0.009,342466,334.439,0,0.0,0.0,0.327,CCG,,,unlimited,/nfs/igk/disks,,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol4 ,zprzekop,,hdaudio,,,,,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,,unlimited,,,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler03:* ,,,hw-departments,,,,,,0,0,0,0.0,0.0,User,others,
